,reason,round,tick,winner
0,,1,0,
1,ct_killed,2,3943,T
2,t_killed,3,19881,CT
3,t_killed,4,26552,CT
4,bomb_exploded,5,33703,T
5,bomb_exploded,6,44158,T
6,bomb_exploded,7,49910,T
7,bomb_exploded,8,61750,T
8,ct_killed,9,68863,T
9,bomb_exploded,10,78193,T
10,ct_killed,11,86397,T
11,bomb_defused,12,96245,CT
12,t_killed,13,103609,CT
13,ct_killed,14,111656,T
14,t_killed,15,127630,CT
15,t_killed,16,134768,CT
16,t_killed,17,140532,CT
17,t_killed,18,148622,CT
18,ct_killed,19,157394,T
19,bomb_exploded,20,166504,T
20,bomb_exploded,21,174543,T
21,ct_killed,22,185034,T
22,bomb_exploded,23,193648,T
23,t_killed,24,201554,CT
